Id,Prediction
28718053,1
88066133,1
50200005,0
155325342,0
124413202,0
18340942,1
54436174,1
104680870,0
78075160,1
120475773,0
130435056,0
102952315,0
50719328,0
24500458,1
145973760,0
29185419,1
141441754,0
103261926,0
99259376,0
141822936,0
106086646,1
35942800,1
96691200,0
90213560,1
91534854,0
87273558,0
44905994,1
109201122,0
60245599,1
131808740,1
86686107,1
37350356,1
14626815,1
37521114,1
70860850,0
133824752,0
154613384,0
14549320,1
20123957,1
94541935,1
55688595,1
8737532,1
27190922,1
109799994,0
35676064,1
33157799,1
106822258,1
78912434,0
89905028,0
35269550,1
83427010,1
96685576,1
55453968,1
74698119,0
49460997,1
88973938,1
50942871,1
93058189,1
26937611,1
124319561,0
23159604,1
20468796,0
124506093,0
17848626,0
8619792,1
153280353,0
91011721,1
96059540,0
69578594,1
18260374,1
104005392,0
67047208,1
78849504,1
57283957,1
117183733,0
87195765,1
104585045,1
151847153,1
124434282,0
36710764,1
75254821,0
86747039,0
130814696,0
18278802,1
78847972,1
54200378,1
130816456,1
26572725,1
44868153,1
82511563,1
72672759,0
39630338,1
43275829,1
100827375,0
137027610,0
30832264,1
19563612,1
88164797,0
33304345,1
89795079,0
118097538,0
37912697,1
144519767,1
76724108,1
32885235,1
70884547,0
99144504,1
111189948,1
26001685,1
49961038,1
112981722,0
132333250,1
139644488,1
37176822,1
42144009,1
124898350,0
22675579,1
81812378,1
85487255,1
81550447,0
91833690,1
18929177,1
22184003,1
17980871,1
72614453,1
90141215,1
68732091,0
125389378,0
52055894,1
137563398,0
76661942,1
40889148,0
62042406,1
127014545,0
1069651,1
33438244,0
18857810,1
74879879,1
73145379,0
55306712,1
56058709,0
83348168,0
89651531,1
57840590,1
94675170,0
34467409,1
139587619,0
88174991,1
130998482,0
156507084,0
114685008,0
85943849,0
50992694,1
57856705,1
46321000,1
73865180,1
51244610,0
32967614,1
83481607,1
128537201,0
99356505,0
116582512,0
35719269,1
99708969,0
111900017,1
107968540,0
35617100,1
18756494,0
15585056,1
91556367,0
21657927,1
16527570,1
20800400,1
132864381,0
49541458,0
25379594,1
132909202,0
59464840,1
88619868,0
57052576,1
45307078,0
15359177,1
158808076,0
15051218,1
103285910,0
89891115,0
139588583,0
107986843,0
27398269,1
89856451,0
21967948,1
146349600,0
9800782,1
86228955,0
155259774,0
15221086,1
39085479,1
25454185,1
44406325,1
60871005,1
49842939,1
93990471,0
55490196,0
101777981,0
17489523,0
16876264,1
22340774,1
55576282,0
143388534,1
132354752,0
36244224,1
111883984,1
24185197,0
119532978,0
147376894,0
23874214,1
72245694,0
55617928,1
108286026,1
157926214,0
24258457,1
19079719,1
